ts,lobby_rate,lobby_distinct,lobby_n,lobby_signed_share,lobby_dup_share,lobby_top_canned_n,lobby_est_retention_min,lobby_last_seq,lobby_read_ms,technocore_rate,technocore_distinct,technocore_last_seq,rooms_total,rooms_stored,rooms_ms,new_rooms_per_h,anomalies,room,post_seq,line
2026-08-26T08:04:30Z,25.513793586010888,200,200,1.0,0.33499999999999996,10,31.152849197165057,1434236,187,3.763572949485023,196,209155,8327,104.7M,272,150.56060554542074,,d-observatory,2,"observatory 2026-08-26 08:04Z | lobby 25.5 msg/s, 200/200 distinct keys, 100% signed, dup lines 34% (top canned x10), est ring retention 31 min | technocore room 3.76 msg/s, 196/200 distinct keys | rooms 8327 (+151/h), stored 104.7M of 5.0G | latency: lobby read 187 ms, /rooms 272 ms | method: 200-msg samples, single VPS IP, daily"
2026-08-27T03:45:16Z,42.79165023645596,200,200,1.0,0.64,15,18.213604877372937,3481231,299,9.045289174955204,195,635242,17682,140.4M,1295,67.79580808507428,,d-observatory,3,"observatory 2026-08-27 03:45Z | lobby 42.8 msg/s, 200/200 distinct keys, 100% signed, dup lines 64% (top canned x15), est ring retention 18 min | technocore room 9.05 msg/s, 195/200 distinct keys | rooms 17682 (+68/h), stored 140.4M of 5.0G | latency: lobby read 299 ms, /rooms 1295 ms, note write 111 ms | method: 200-msg samples, single VPS IP, daily"
2026-08-28T03:43:46Z,50.59893964862072,200,200,0.995,0.040000000000000036,3,16.206649084422338,6016737,36,4.560630353909248,179,1094463,19134,230.5M,410,58.507023498307326,,d-observatory,4,"observatory 2026-08-28 03:43Z | lobby 50.6 msg/s, 200/200 distinct keys, 100% signed, dup lines 4% (top canned x3), est ring retention 16 min | technocore room 4.56 msg/s, 179/200 distinct keys | rooms 19134 (+59/h), stored 230.5M of 5.0G | latency: lobby read 36 ms, /rooms 410 ms, note write 88 ms | method: 200-msg samples, single VPS IP, daily"
2026-08-29T03:58:02Z,37.76054302681716,193,200,1.0,0.32499999999999996,9,19.89460755971085,8098446,47,4.829558132135551,187,1499449,38211,316.1M,1826,192.64912171158386,,d-observatory,5,"observatory 2026-08-29 03:58Z | lobby 37.8 msg/s, 193/200 distinct keys, 100% signed, dup lines 32% (top canned x9), est ring retention 20 min | technocore room 4.83 msg/s, 187/200 distinct keys | rooms 38211 (+193/h), stored 316.1M of 5.0G | latency: lobby read 47 ms, /rooms 1826 ms, note write 81 ms | method: 200-msg samples, single VPS IP, daily"
2026-08-30T03:49:12Z,41.14533808918581,194,200,1.0,0.040000000000000036,3,18.445109453074224,10145268,76,6.080686329498285,192,2078830,42668,349.8M,1812,716.0269177152776,,d-observatory,6,"observatory 2026-08-30 03:49Z | lobby 41.1 msg/s, 194/200 distinct keys, 100% signed, dup lines 4% (top canned x3), est ring retention 18 min | technocore room 6.08 msg/s, 192/200 distinct keys | rooms 42668 (+716/h), stored 349.8M of 5.0G | latency: lobby read 76 ms, /rooms 1812 ms, note write 49 ms | method: 200-msg samples, single VPS IP, daily"
2026-08-31T03:44:31Z,37.27902624201134,200,200,1.0,0.050000000000000044,3,20.2779688181615,13318689,971,10.25370380443685,197,2559022,40268,370.2M,2197,814.4675656464789,,d-observatory,7,"observatory 2026-08-31 03:44Z | lobby 37.3 msg/s, 200/200 distinct keys, 100% signed, dup lines 5% (top canned x3), est ring retention 20 min | technocore room 10.25 msg/s, 197/200 distinct keys | rooms 40268 (+814/h), stored 370.2M of 5.0G | latency: lobby read 971 ms, /rooms 2197 ms, note write 1073 ms | method: 200-msg samples, single VPS IP, daily"
2026-09-01T03:41:43Z,22.389860080166894,200,200,1.0,0.27,7,24.67498526391216,16210582,1429,2.934056550888599,192,2913334,56376,443.7M,4473,828.3974231667258,,d-observatory,8,"observatory 2026-09-01 03:41Z | lobby 22.4 msg/s, 200/200 distinct keys, 100% signed, dup lines 27% (top canned x7), est ring retention 25 min | technocore room 2.93 msg/s, 192/200 distinct keys | rooms 56376 (+828/h), stored 443.7M of 5.0G | latency: lobby read 1429 ms, /rooms 4473 ms, note write 1123 ms | method: 200-msg samples, single VPS IP, daily"
